,CODGEO,SNHM14,net_cadre,net_cadre_moyen,net_employe,net_travailleur,net_femme,net_cadre_femme,net_cadre_moyen_femme,net_employe_femme,net_travailleur_femme,net_homme,net_cadre_homme,net_cadre_moyen_homme,net_employe_homme,net_travailleur_homme,net_18_25,net_26_50,net_50_plus,net_18_25_femme,net_26_50_femme,net_50_plus_femme,net_18_25_homme,net_26_50_homme,net_50_plus_homme,EU_circo,code_région,chef.lieu_région,numéro_département,préfecture,numéro_circonscription,total_entreprises,autres_entreprises,micro_entreprises,petites_entreprises,moyennes_entreprises,grandes_entreprises,hommes,femmes,15_24ans,24_49ans,50_plus_ans
count,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5106,5106,5106,5106,5106
mean,52347.24751703992,13.706368062317429,23.70344693281402,14.575890944498541,10.564459591041869,11.235813047711781,12.038013631937682,20.220155793573515,13.274001947419668,10.308919182083738,9.827341772151899,14.848101265822784,25.196553067185977,15.494001947419665,11.26539435248296,11.498325219084713,9.549737098344695,13.49550146056475,15.877078870496593,9.161538461538461,12.055209347614412,13.17402142161636,9.820817916260955,14.485978578383643,17.679513145082762,3.9873417721518987,51.17916260954236,12.548782862706913,66.43816942551119,53.11372930866602,4.903213242453749,721.2243427458617,479.66523855890944,195.47088607594938,37.8253164556962,6.807400194741967,1.4555014605647516,3629.5910693302,4072.8717195456325,1191.4569134351743,3099.1733254994124,3411.832549941246
std,25824.916909350075,2.559577664247524,2.8363221283340994,1.490255015585639,0.8118478774457665,1.2218185897463096,1.7881693482569085,2.327644366461707,0.990089108775191,0.747629874202643,1.104716066547381,3.175459163855385,3.420945616498734,2.374098777607949,1.143963389002937,1.2896871211455845,0.9975385703199493,2.3633707384411,3.5861953481372804,0.4530625230756881,1.825480717512508,2.2495930661592825,1.5400942354737002,2.852767792553782,4.530648449889133,2.1083883338744784,27.354449505557284,7.159210220429826,119.51290092004714,25.85586634256987,3.8137107586934635,6256.432932780126,4603.26799367264,1366.749309489406,247.41851381721827,38.750921470860504,10.179510555749038,14739.544371298844,17132.69122234079,5397.080242118606,14260.635929183589,12415.626092237897
min,1004,10.2,16,11.6,8.7,8.3,9.3,12,10.6,8.7,6.1,10.4,13.8,11.8,8,8.9,7.9,9.7,10.5,7.5,9.1,9.5,7.8,9.6,10.8,1,1,1,1,1,1,6,6,0,0,0,0,604,641,75,306,351
25%,32139.5,12.1,21.9,13.8,10,10.6,10.9,18.8,12.6,9.8,9.2,12.9,23.1,14.5,10.5,10.8,9.2,12,13.7,8.9,10.9,11.7,9.4,12.7,14.9,2,25,7,32,33,2,150,99,39,6,1,0,1043,1109,262.25,820,1047
50%,56094,13,23.2,14.4,10.4,11,11.5,20,13.1,10.1,9.7,14.1,24.6,15.2,11.1,11.3,9.5,12.9,15,9.1,11.6,12.6,9.7,13.8,16.6,4,52,14,56,57,4,252,162,71,13,2,0,1561,1680,415,1241,1593
75%,74042.5,14.4,24.9,15.1,10.9,11.6,12.7,21.4,13.8,10.6,10.2,15.8,26.6,16,11.8,11.9,9.7,14.3,16.9,9.4,12.7,14,10,15.5,19,6,82,19,74,75,6,508,322,147,30,6,1,2935,3236.75,846.75,2339,2945.75
max,97424,43.3,51.5,54.6,17.5,46.3,26.7,35.5,19,16.1,28.1,52.4,58,93.4,23.5,53.2,60.6,38.1,56.9,12,26.6,31,93.3,45.4,68.6,8,94,26,974,100,24,427385,316603,91204,16472,2470,636,858091,1000061,283115,858882,716155
