,0
CODGEO,0
LIBGEO,0
SNHM14,0
SNHMC14,0
SNHMP14,0
SNHME14,0
SNHMO14,0
SNHMF14,0
SNHMFC14,0
SNHMFP14,0
SNHMFE14,0
SNHMFO14,0
SNHMH14,0
SNHMHC14,0
SNHMHP14,0
SNHMHE14,0
SNHMHO14,0
SNHM1814,0
SNHM2614,0
SNHM5014,0
SNHMF1814,0
SNHMF2614,0
SNHMF5014,0
SNHMH1814,0
SNHMH2614,0
SNHMH5014,0
